Name	Value
Status	ok
Ev (Illuminance - Photopic) / lx	1.004E+05
Es (Illuminance - Scotopic) / lx	1.576E+05
563	1.46272489126568
564	1.48062348380088
565	1.49066644402274
566	1.49929534739529
567	1.51588686611745
568	1.53690226964304
569	1.55483731493355
570	1.56785418072604
571	1.58046013743123
572	1.59160897769532
573	1.60294450785422
574	1.61915353750074
575	1.63692636466815
576	1.65311482432209
577	1.66801133488827
578	1.68437959544302
579	1.70387246868751
580	1.72152976943093
581	1.72910221544839
582	1.73545054281152
583	1.74560946226985
584	1.75713978590851
585	1.76845329942059
586	1.77958488274915
587	1.78904491302777
588	1.7951639736045
589	1.80157564548401
590	1.80969508169381
591	1.81782197749353
592	1.82369956363006
593	1.82892191984511
594	1.83312761518787
595	1.8367261817336
596	1.83747913986784
597	1.83450100784076
598	1.8333306513961
599	1.83701149828083
600	1.83971864128883
